,,"Jan, 2024",,"Nov, 2023",,2023
,,SOM,,SOM,,SOM
,Illegal Brand,(%),,(%),,(%)
1.,John,34.7,,25.7,,29.4
2.,Gudang Garam,14.9,,9.2,,9.4
3.,Bosston*,13.5,,12.3,,7.3
4.,U2,12.4,,14.8,,11.7
5.,Canyon,4.9,,9.1,,11.7
6.,Misto*,0.2,,0.4,,0.6
7.,Zon KIng,0.1,,0.4,,0.4
Top 7 Total,,80.7,,71.9,,70.5
,,,,,,
Other Illegal,,-,,7.9,,7.2
Total Illegal %,,80.7,,79.8,,77.7
