,STATE LEGAL VOLUME,LEGAL INCIDENCE,TOTAL MARKET VOLUME,STATE ILLEGAL VOLUME
,A,B,C = A / B,D = C - A
SELANGOR,"148,021",55.9%,"264,699","116,678"
