,,"Jan, 2024",,"Nov, 2023",,2023
,,SOM,,SOM,,SOM
,Illegal Brand,(%),,(%),,(%)
1.,Era,33.7,,26.8,,27.3
2.,Parkway,25.6,,19.8,,19.1
3.,Rave,10.2,,11.4,,13.9
4.,L.A.,5.1,,1.4,,7.5
5.,D&J,1.7,,4.0,,3.5
6.,S Super,1.5,,5.8,,1.8
7.,Crystal,1.1,,2.7,,1.2
8.,Gudang Garam,0.6,,0.1,,0.5
9.,Devon,0.3,,5.8,,1.8
10.,Djarum,0.3,,-,,0.2
Top 10 Total,,80.1,,77.8,,76.8
,,,,,,
Other Illegal,,0.2,,2.1,,3.4
Total Illegal %,,80.3,,79.9,,80.2
