,,"Jan, 2024",,"Nov, 2023",,2023
,,SOM,,SOM,,SOM
,Illegal Brand,(%),,(%),,(%)
1.,Era,71.7,,69.7,,73.1
2.,Premium,2.9,,5.1,,2.2
3.,Gudang Garam,1.7,,0.1,,0.1
4.,D&J,1.1,,2.2,,0.7
5.,L.A.,0.8,,0.3,,1.8
6.,Sampoerna,0.2,,-,,0.0**
7.,Che,0.2,,-,,0.0**
8.,U2,0.1,,0.1,,0.0**
9.,Marlboro,0.1,,-,,0.0**
10.,John,0.1,,0.1,,0.0**
Top 10 Total,,78.9,,77.6,,77.9
,,,,,,
Other Illegal,,-,,0.2,,0.5
Total Illegal %,,78.9,,77.8,,78.4
