,"IN-MARKET
SALES","STATE‘S LEGAL
VOLUME
CONTRIBUTION","PROJECTED/
ESTIMATED
STATE LEGAL
VOLUME"
SELANGOR,"146,608",24.9%,"126,852"
NATIONAL,"589,794",,"510,319"
