A minus B,,,
Variance (Jan’2024 vs. Nov’2023),,,
"Total
Illegal","Fake Tax
Stamp","Smuggled
Whites","Smuggled
Kretek"
+0.9,-3.1,+1.2,+2.8
+0.4,0.0,+2.9,-2.5
+1.1,0.0,-1.2,+2.3
+4.8,+5.1,+1.5,-1.8
+5.2,-0.6,+8.9,-3.1
+1.0,-0.9,+2.9,-1.0
+5.1,-5.3,+10.5,-0.1
+1.3,-0.6,+1.3,+0.6
+0.6,+1.4,+0.5,-1.3
-0.1,0.0 0.0,,-0.1
+3.5,+8.4,-3.9,-1.0
-10.0,-0.3,-8.7,-1.0
-0.1,-3.1,+2.6,+0.4
-10.9,+0.6,-10.2,-1.3
+1.1,-0.1,+1.7,-0.5
